2025-06-17 09:38:03 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:38:03 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:38:03 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:38:13 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:38:13 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:38:13 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:38:13 | INFO | voice_audio_recorder | 開始錄音，預定時長: 3秒
2025-06-17 09:38:16 | INFO | voice_audio_recorder | 錄音完成，實際時長: 3.03秒
2025-06-17 09:38:17 | WARNING | voice_audio_recorder | 目前沒有在錄音
2025-06-17 09:38:17 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:38:17 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:38:17 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:38:17 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:38:17 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:38:17 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:38:17 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:38:17 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:38:43 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:38:43 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:38:43 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:38:43 | INFO | voice_audio_recorder | 開始錄音，預定時長: 3秒
2025-06-17 09:38:46 | INFO | voice_audio_recorder | 錄音完成，實際時長: 3.03秒
2025-06-17 09:38:47 | WARNING | voice_audio_recorder | 目前沒有在錄音
2025-06-17 09:38:47 | INFO | voice_audio_recorder | 音訊檔案已保存: /Users/owenke/source/github.com/robot-test-project/libraries/local_voice_verifying/audio_samples/recorded/recording_20250617_093847.wav
2025-06-17 09:38:47 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:38:47 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:38:47 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:38:47 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:38:47 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:38:47 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:38:47 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:38:47 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:39:16 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:39:16 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:39:16 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:39:16 | INFO | voice_audio_recorder | 開始錄音，預定時長: 3秒
2025-06-17 09:39:19 | INFO | voice_audio_recorder | 錄音完成，實際時長: 3.03秒
2025-06-17 09:39:20 | WARNING | voice_audio_recorder | 目前沒有在錄音
2025-06-17 09:39:20 | INFO | voice_audio_recorder | 音訊檔案已保存: /Users/owenke/source/github.com/robot-test-project/libraries/local_voice_verifying/audio_samples/recorded/recording_20250617_093920.wav
